Target Distane: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-4.49902, 19.4874)
2: (x, y) = (-8.99804, 38.9748)
3: (x, y) = (-8.30005, 58.9626)
4: (x, y) = (-4.82709, 39.2665)
5: (x, y) = (-18.7203, 24.8797)
6: (x, y) = (-23.8966, 5.56115)
7: (x, y) = (-43.7871, 7.65172)
8: (x, y) = (-50.9544, -11.0199)
9: (x, y) = (-43.7871, 7.65172)
10: (x, y) = (-32.8943, 24.4251)
11: (x, y) = (-33.5923, 44.4129)
12: (x, y) = (-21.0059, 28.87)
13: (x, y) = (-20.6568, 48.867)
14: (x, y) = (-9.1853, 32.4839)
15: (x, y) = (-8.48731, 12.4961)
16: (x, y) = (-12.3035, 32.1287)
17: (x, y) = (-16.4617, 51.6916)
18: (x, y) = (-2.07493, 37.7985)
19: (x, y) = (16.3352, 29.9838)
20: (x, y) = (13.5517, 10.1785)
21: (x, y) = (6.7113, -8.61538)
22: (x, y) = (-11.9603, -1.44802)
23: (x, y) = (2.42649, -15.3412)
24: (x, y) = (-14.5345, -25.9396)
25: (x, y) = (-3.64169, -9.16616)
26: (x, y) = (-18.2688, -22.8061)
27: (x, y) = (-21.3975, -42.5599)
28: (x, y) = (-14.2301, -23.8883)
29: (x, y) = (-13.1834, -3.9157)
30: (x, y) = (-24.0762, -20.6891)
31: (x, y) = (-44.0274, -19.294)
32: (x, y) = (-63.66, -23.1102)
33: (x, y) = (-44.8661, -29.9506)
34: (x, y) = (-59.4932, -16.3106)
35: (x, y) = (-40.3671, -22.158)
36: (x, y) = (-58.343, -30.9255)
37: (x, y) = (-60.4336, -50.8159)
38: (x, y) = (-42.9412, -41.1197)
39: (x, y) = (-25.9802, -51.7181)
40: (x, y) = (-8.16007, -60.7979)
41: (x, y) = (-6.76494, -40.8466)
42: (x, y) = (3.23506, -23.5261)
43: (x, y) = (-14.7408, -14.7587)
44: (x, y) = (-1.10085, -0.131608)
45: (x, y) = (-11.9936, -16.905)
46: (x, y) = (-2.6042, -34.564)
47: (x, y) = (16.1896, -27.7236)
48: (x, y) = (34.8613, -34.8909)
49: (x, y) = (29.3485, -54.1162)
50: (x, y) = (49.3211, -55.1629)
51: (x, y) = (39.6249, -72.6553)
52: (x, y) = (23.4446, -60.8996)
53: (x, y) = (5.17366, -52.7648)
54: (x, y) = (12.341, -34.0932)
55: (x, y) = (-0.780162, -49.1874)
56: (x, y) = (0.962953, -29.2635)
57: (x, y) = (-18.3556, -24.0871)
58: (x, y) = (1.63225, -23.3892)
59: (x, y) = (-16.4939, -14.9368)
60: (x, y) = (-22.6742, -33.9579)
61: (x, y) = (-32.975, -51.1013)
62: (x, y) = (-51.3851, -58.9159)
63: (x, y) = (-37.243, -73.058)
After 64 steps, the object has the following location:
(x, y) = (-52.5639, -85.9138)
 or
(m, a) = (100.718, -121.459)
Average outward distance per step = 1.57372
